Feature,RF_SHAP,XGB_SHAP,Ensemble_SHAP
Price,0.08892131219241718,1.6571695253329282,0.873045418762671
Number of ratings,0.11940464979583641,0.6633598534726006,0.38980471025331587
Your location : fine (GPS) location (D),0.038230209462282345,0.2661671062942611,0.1520586693893783
Dangerous permissions count,0.02087606239381874,0.2026791168701056,0.10834156846053827
Rating,0.04151256412019601,0.17203229568423703,0.10060095954393222
Network communication : view network state (S),0.022013995189458076,0.12034169484050976,0.07000041393972062
Network communication : full Internet access (D),0.010396140981862798,0.09570408020813623,0.05201309265877088
Safe permissions count,0.015410467706854006,0.09496079451981766,0.05143741959786952
Hardware controls : control vibrator (S),0.009249765908492415,0.09267890885888491,0.04924586436886748
Phone calls : read phone state and identity (D),0.015104584824065055,0.07756269693240936,0.04445420348194802
Services that cost you money : directly call phone numbers (D),0.00854535878726132,0.06287795067376567,0.03547298491772215
Network communication : view Wi-Fi state (S),0.0068916352320412995,0.05933927658496896,0.03253856727981165
System tools : set wallpaper (S),0.005994029208399347,0.0571181172767424,0.03145753154467506
System tools : prevent device from sleeping (D),0.008727082446304381,0.05507945930508298,0.030359681180026646
Storage : modify/delete USB storage contents modify/delete SD card contents (D),0.011311044496607083,0.04897564837328551,0.02775782450306033
Your location : coarse (network-based) location (D),0.00982485681154171,0.036658908441370305,0.021499373169427294
Your location : mock location sources for testing (D),0.004025199374713054,0.031644903066011185,0.017832649477712268
System tools : automatically start at boot (S),0.0046403486660816584,0.03172533156751697,0.017739793373635532
System tools : modify global system settings (D),0.003411218208788035,0.03005453846136894,0.016566390009819732
Your personal information : write Browser's history and bookmarks (D),0.0031709414133679055,0.02713433751319972,0.015152639463283818
Hardware controls : take pictures and videos (D),0.00476051386841168,0.024465851344150864,0.01413287151603334
Your personal information : read contact data (D),0.002556655734680086,0.02256301259776542,0.011815951009197632
Your accounts : discover known accounts (S),0.0032878770924600026,0.02035077035123337,0.011607626631911266
System tools : change Wi-Fi state (D),0.00229798089127373,0.016311439919349493,0.00925911084256328
Your personal information : read sensitive log data (D),0.0025553933547784666,0.015240218218561927,0.008884630619069366
Default : disable or modify status bar (S),0.00027110683309352474,0.016151962147623423,0.00820469735892877
System tools : retrieve running applications (D),0.0027969051066768355,0.015171937424633943,0.008109052289734691
Your accounts : use the authentication credentials of an account (D),0.000763092466817522,0.015230574803398646,0.007974267183771887
Network communication : receive data from Internet (S),0.0024038069396979684,0.01346967907540995,0.007558084452889877
Services that cost you money : send SMS messages (D),0.0019465047087799353,0.013195364648239926,0.007140382603609971
Your personal information : read Browser's history and bookmarks (D),0.003095494843067982,0.009652520106972668,0.0063692706363522615
System tools : send sticky broadcast (S),0.0013395044583704298,0.010834018392686266,0.00608676142552835
System tools : kill background processes (S),0.0010225032522546119,0.009805248368949972,0.005174514933626304
Default : delete applications (S),0.0001700874712052012,0.009369567822322995,0.004767263194144558
Hardware controls : record audio (D),0.0014820507032365206,0.007540565212725039,0.004247248710011676
System tools : display system-level alerts (D),0.001212022518195111,0.007305201065201541,0.004183391340591325
System tools : change network connectivity (D),0.0014365348459258623,0.007103348827205046,0.0040359378497900784
System tools : set wallpaper size hints (S),0.00017915318520123739,0.007854792142580266,0.003992299079685766
Your personal information : write contact data (D),0.001443699150069765,0.006319179539491884,0.003644944964471462
Your accounts : manage the accounts list (D),0.0004853222498814893,0.006574184704993385,0.003484294606175577
Your location : access extra location provider commands (S),0.001537263791183083,0.004601572146957191,0.0030189646680825735
Hardware controls : change your audio settings (D),0.0007159293162456021,0.005222229171929209,0.0028355652092375973
Default : directly install applications (S),0.00037892837635388073,0.0052563987604653814,0.0027989176489819855
Phone calls : modify phone state (S),0.0003342532302652545,0.005336742199356669,0.0027551361325987306
Your messages : read SMS or MMS (D),0.0005852244926954066,0.005013979101958102,0.0026015027800242426
Your messages : receive SMS (D),0.0006768338728363525,0.004611673841222071,0.0023978047054931707
Your personal information : add or modify calendar events and send email to guests (D),0.0007797517885102085,0.003979236664158526,0.0023794942263343677
Network communication : create Bluetooth connections (D),0.0006143208985676041,0.004267902642576374,0.0022631179853137198
Your personal information : read calendar events (D),0.0008694623958874128,0.002990194297070265,0.0018971261537404501
System tools : write sync settings (D),0.00040043991952399925,0.0033360747183405325,0.0018246627708385804
