Rank,Feature,Relevance
1,FIN_Flag_Count,0.03682995593025015
2,ACK_Flag_Count,0.0198029525519896
3,URG_Flag_Count,0.017048260335017464
4,Protocol,0.01555044668017539
5,Active_Max,0.014951691379233623
6,Fwd_Packetss,0.014236295438027367
7,Active_Min,0.013999649819881776
8,Subflow_Fwd_Packets,0.013773143691157367
9,Min_Packet_Length,0.013629944693680767
10,Subflow_Fwd_Bytes,0.01330763285945309
11,Fwd_IAT_Total,0.011865281866229857
12,Init_Win_bytes_backward,0.01114647547095445
13,Fwd_IAT_Std,0.010716773620537934
14,act_data_pkt_fwd,0.010631003994931672
15,SYN_Flag_Count,0.009647513259273032
16,Bwd_IAT_Min,0.008490555816636366
17,Idle_Mean,0.008160562757620438
18,Bwd_IAT_Std,0.008005565603088297
19,Flow_Duration,0.007410545050153072
20,Bwd_IAT_Total,0.007333269532364767
