Feature,RF_SHAP,XGB_SHAP,Ensemble_SHAP
Flow_IAT_Mean,0.016585006362539557,1.208683570874451,0.6121744000868741
Flow_Packetss,0.0281472743524952,1.1398410455322434,0.579587867577284
Fwd_Packetss,0.03155775489221638,0.5186077560910676,0.26820640635623727
Source_Port,0.011941667969973487,0.400028377303711,0.20463961317291549
Flow_IAT_Min,0.013784750133485209,0.39222627094070844,0.20090680016751303
Bwd_Packetss,0.018901457805324255,0.36998573586393485,0.19222311814909013
Flow_Duration,0.011946575098464715,0.34282157289524845,0.17669197290458996
Flow_IAT_Max,0.013586855978153628,0.2953742664330145,0.1540083238545418
Flow_Bytess,0.0086477695207952,0.25028633361928054,0.12864340614856043
min_seg_size_forward,0.049805335120917324,0.23491189740974752,0.1268847101180801
Fwd_IAT_Std,0.007804892546133984,0.20981396053685566,0.10864992522476254
Destination_Port,0.02701700600210636,0.1724302297438561,0.09400178689482937
Bwd_Header_Length,0.00766218722768707,0.16516683166154145,0.08433846200771929
Init_Win_bytes_backward,0.007071720823055385,0.13958425985717304,0.07244202321637891
Total_Fwd_Packets,0.004849682577689878,0.13061869772775928,0.06610771900951742
Init_Win_bytes_forward,0.006622641796515922,0.12790775018625664,0.0657168801807838
Packet_Length_Variance,0.0037565056761035545,0.12503110926288147,0.06344991660122067
Fwd_IAT_Mean,0.007362999364765431,0.1164784409593173,0.06110068426495247
Fwd_IAT_Min,0.006392565468145651,0.099869993136333,0.05057630386369812
Avg_Fwd_Segment_Size,0.0039779786564045514,0.0939642706626963,0.04776810275562894
Fwd_Header_Length,0.013486804359353734,0.08902646359953416,0.04707202186925307
Max_Packet_Length,0.006315669451492801,0.09008618652963228,0.046906642143703346
Bwd_Packet_Length_Max,0.005991469236064005,0.08315106552823621,0.04207689814089414
ACK_Flag_Count,0.0028136215234978684,0.08153551475806646,0.04185334422298685
Flow_IAT_Std,0.0032148500392648886,0.07891032150481742,0.04062241890144886
Packet_Length_Std,0.0036049260094081466,0.07031472890933275,0.03643653145135496
DownUp_Ratio,0.008979619354955273,0.06927636088266065,0.035591209392541644
Subflow_Bwd_Packets,0.005026858744420213,0.06649529580102354,0.03530598375357002
act_data_pkt_fwd,0.003533554436563258,0.06593427004334608,0.03430646903518864
Fwd_IAT_Max,0.006897115754866369,0.06537174803749635,0.03344281800237309
Fwd_Packet_Length_Max,0.003940032555679576,0.06343967285185324,0.032910271718962845
Bwd_IAT_Min,0.0047201395393645955,0.05517570666473942,0.02933673631819856
Average_Packet_Size,0.0028746331686421607,0.05533309409028183,0.028016299436807057
Packet_Length_Mean,0.0029624492383935005,0.05408516109596066,0.027610430315242202
URG_Flag_Count,0.0015673291921359809,0.05113270109246975,0.025319233477242138
Min_Packet_Length,0.0018861797234922804,0.04915504431972423,0.025045505108416896
Subflow_Bwd_Bytes,0.005017645502394782,0.04703402650972976,0.02447265320932013
Bwd_IAT_Std,0.0013898920421812236,0.04556175705470381,0.0227495281200083
Bwd_Packet_Length_Min,0.001313267220959538,0.044743135904948245,0.0225771098489886
Fwd_IAT_Total,0.00562164186730842,0.042342484205808405,0.022453111136079618
Bwd_Packet_Length_Std,0.0026396873503426997,0.04302674871413705,0.021547907670128253
Avg_Bwd_Segment_Size,0.006586248501623615,0.04038275374449112,0.02141799246465165
Subflow_Fwd_Bytes,0.003586457247369114,0.03832859175510093,0.01982467654743649
Bwd_IAT_Mean,0.0021454924756243578,0.03431458411568536,0.01761640048618926
Fwd_Packet_Length_Std,0.0022254741066751976,0.032408110885377706,0.017033267767873717
Fwd_Packet_Length_Min,0.002104915579627971,0.03313156446397115,0.016827347940174882
Bwd_IAT_Total,0.00197164524029539,0.030640757260060637,0.015026515766175362
Bwd_IAT_Max,0.0019513495262877079,0.026173185947068866,0.013574641179459383
SYN_Flag_Count,0.0005665509996177154,0.02545210872985509,0.01297481427896247
Idle_Max,0.001019710110296492,0.024847498019651703,0.0126884190326391
PSH_Flag_Count,0.0010550799650596305,0.02149251917585759,0.011140662284229568
Active_Max,0.0007102767294698619,0.015782368346166344,0.007833993991779269
Fwd_Header_Length1,0.01486563623832047,0.0,0.007432818119160235
Protocol,0.0007057557334697953,0.009885525404920334,0.005287521224568092
Idle_Min,0.000919146225679829,0.009194599521306815,0.004961465791735939
Active_Min,0.0005615064818758489,0.009529456159449765,0.004925008778912117
Bwd_Packet_Length_Mean,0.006677575702382843,0.0,0.0033387878511914213
Total_Backward_Packets,0.0051353100045335364,0.0,0.0025676550022667682
Subflow_Fwd_Packets,0.004835176663808703,0.0,0.0024175883319043517
Active_Std,0.0002009767446334864,0.0046097338767029546,0.002398838863205551
Total_Length_of_Bwd_Packets,0.004347233246846222,0.0,0.002173616623423111
Fwd_Packet_Length_Mean,0.0037996834150520365,0.0,0.0018998417075260182
Total_Length_of_Fwd_Packets,0.003532639573106427,0.0,0.0017663197865532135
Active_Mean,0.0004968851425312041,0.0025135285092401254,0.001286097806358562
Idle_Std,0.00019071770407075908,0.0021657933840400078,0.0011673223280475697
FIN_Flag_Count,0.0006211121364018164,0.0015929894191806671,0.001107050777791242
Idle_Mean,0.0008454129370507723,0.0011667977961216827,0.0009702340512535759
Fwd_PSH_Flags,0.0007538846004210767,0.0,0.00037694230021053835
